Hand                               , Skat      ,       JacksMask,  CntJ,  Aces,  Tens, Att10, MxLen,   TKS,   BestGame,  WinProb,  ProbGrand,  ProbClubs, ProbSpades,  ProbHearts,  ProbDiamonds,     ProbNull, WonMask ,   DurationMs
[CJ SJ DJ S9 S7 CT HA HK DA DQ]    , -         ,             CSD,     3,     2,     1,     0,     2,     0,     Spades,   0.6000,     0.2500,     0.4000,     0.6000,      0.2500,        0.3000,       0.0000, ------  ,     10322.18
[CA C9 C8 C7 SA S9 H8 DK D9 D8]    , -         ,               -,     0,     2,     0,     0,     4,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      7067.69
[C8 ST S8 S7 HA HT H8 DK DQ D9]    , -         ,               -,     0,     1,     2,     1,     3,     0,      Grand,   0.0500,     0.0500,     0.0500,     0.0000,      0.0000,        0.0500,       0.0000, ------  ,      3741.14
[DJ CK C8 ST SK S8 HA HK DK DQ]    , -         ,               D,     1,     1,     1,     0,     3,     1,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     13690.75
[CJ SJ DT D9 D7 CA CQ C8 HQ H9]    , -         ,              CS,     2,     1,     1,     0,     3,     0,   Diamonds,   0.2500,     0.0000,     0.1500,     0.0000,      0.0000,        0.2500,       0.0000, ------  ,     30207.64
[HJ DJ CA CT C9 SQ HT H8 DK D7]    , -         ,              HD,     2,     1,     2,     1,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,     38105.32
[SJ HT HK H9 H7 CT CK SK DA DT]    , -         ,               S,     1,     1,     3,     1,     4,     1,     Hearts,   0.1500,     0.0000,     0.0000,     0.0000,      0.1500,        0.0000,       0.0000, ------  ,     17015.79
[HJ SK S9 S8 CA HA H8 DT DK D7]    , -         ,               H,     1,     2,     1,     0,     3,     1,     Spades,   0.1500,     0.0000,     0.0000,     0.1500,      0.0000,        0.1000,       0.0000, ------  ,     22851.01
[HJ HA HT HK H8 CT ST DA DT D8]    , -         ,               H,     1,     2,     4,     2,     4,     1,     Hearts,   0.1000,     0.0000,     0.0000,     0.0000,      0.1000,        0.0500,       0.0000, ------  ,     18522.98
[SJ HJ CA CT CQ C7 S9 HA DA DT]    , -         ,              SH,     2,     3,     2,     2,     4,     0,      Grand,   1.0000,     1.0000,     1.0000,     0.5000,      0.3000,        0.3500,       0.0000, GC----  ,     28898.18
[CJ CA CQ C9 C8 SA ST HT DA D9]    , -         ,               C,     1,     3,     2,     1,     4,     0,      Clubs,   0.8500,     0.7000,     0.8500,     0.0500,      0.4500,        0.1000,       0.0000, GC----  ,     10315.39
[SJ HA HT HK HQ H9 H7 SQ DA D9]    , -         ,               S,     1,     2,     1,     1,     6,     1,     Hearts,   1.0000,     0.1500,     0.0000,     0.0000,      1.0000,        0.0000,       0.0000, ---H--  ,     29245.85
[CA CK SK SQ S8 HQ H9 DK D8 D7]    , -         ,               -,     0,     1,     0,     0,     3,     0,      Grand,   0.0000,     0.0000,     0.0000,     0.0000,      0.0000,        0.0000,       0.0000, ------  ,      2262.29
